category,model,material,color,functions,functions ,functions:
Varnish Spray,K01375000,,,"[{'name': 'UV Archival Varnish', 'description': ''}]",,
Pitcher Pump,PUMP125,Cast Iron Body,,"[{'description': 'Indent Spout for Pail Handle'}, {'description': 'Cap adjustable for handle positions'}, {'description': 'Shallow Well Application'}, {'description': 'Max Lift 25-30 feet'}]",,
Liquid Vitamins,Tropical Oasis Liquid Calcium & Magnesium,,,"['Supports strong bones', '']",,
Soul/R&B,Candy Girl,,,,,
power adapter,AC 55386-60,,black,AC/DC power adapter compatible with Winplus Car Jump Start 8000mAh Power Bank,,
Jersey,Aaron Judge New York Yankees,,,,,
Appliance,Espresso Milk Frothing Pitcher,,,,,
Apparel,Boys' Long Sleeve Slider Tee Shirt,,,,,
Trash Can Wastebasket,Crackled Ice Small,Resin,Oil Rubbed Bronze,,,
Respirator Accessories,30 Pack Peel Off Lens Cover,,,"['- Protect and extend the useful life of the respirator', '- Prevent scratching and protect from minor impacts']",,
Pillow Covers,Aquadog The Corgi Rides a Whale Dog,,,['Cushion Cover for Sofa Couch Decor'],,
slippers,KEN07-4,,blue and white,"['comfortable', 'fun']",,
Running Shoe,Torrance,Heather knit-like upper,,,,
phone case,iPhone Xs Max,,Moo Moo,,,
crystal ball,,re-constituted quartz crystal,clear,,,
EDC Folding Pocket Knife,VORTEK,"['8Cr13MoV Tanto Blade', 'G10 Handles']",,"['Razor Sharp', 'Tough']",,
Chainring,Shimano 105 5800-L,Aluminum,Black,"[{'tooth_count': 53, 'ring_position_type': 'Outer'}]",,
Wire Strippers,47000,,Black,,,
Tea,Wild Huckleberry Tea Tin,,,,,
Crayons,Regular Size,Wax,#008000,['Refill colors'],,
Eyewear,BB0021SK-30006645-004,Silver,Silver Grey,,,
Baby Boy Girl Clothes,Long Sleeves Baseball Print Romper Pants Hat Outfits Sets,Cotton Blend,Not specified,,,
DVD,,,,,,
Fitness,Hand Weights,Neoprene,,"['Workout', 'Exercise', 'Fitness']",,
Hair Accessories,Power Traceless Spiral Hair Ties,Elastic,Crystal Clear,"- Strong Elastic Grip
- No Kink, Non Soaking
- Gentle for Girls Teens and Thick Hair.",,
Green Tea,Sweet & Spicy,,,,,
hair accessories,Boao 36 Pieces Butterfly Hair Clips,not specified,multicolor,['decorative hair clips'],,
Sports,Plastic Speed Jump Rope,Plastic,Red,,,
NFL,4-7 Outerstuff,Hi Tech Performance Full Zip Hoodie,Team Color,,,
Calculators,TI-30XIIS,,,,,
Speaker Box,Q Power Single 15-Inch Vented Unloaded Box,MDF Wood,Carpeted Black,['Vented design for enhanced bass response'],,
LEGO,The Batman Movie The Joker Notorious Lowrider 70906,,,,,
Car Accessories,Car Dashboard Mount Holder,Plastic,,[{'name': None}],,
ribbon,plaid canvas,canvas,"['brown', 'orange', 'cream']","[{'length_in_yards': 10}, {'length_in_feet': 30}, {'wired_edge': True}]",,
Bathroom Fixtures,U4929-PB-PK,Polished Brass,,"[{'_function': '', '_description': ''}]",,
Bathroom Accessories,Poo-Pourri Lavender Vanilla Before You Go Spray,,,"['Traps scent in the toilet bowl', 'Spray bottle with cap']",,
Folding Saw,3 in 1,"Wood, Metal and PVC Blade",Mossy Oak (camouflage pattern),"[{'function_name': '', 'function_description': ''}]",,
paint,Americana Decor Color Stain,water-based,white,"['create stunning home decor', 'create furniture pieces']",,
Dental Lab Equipment,Micro Motor Hand Kit,,,[''],,
Flushable wipes,Kirkland Signature Moist Flushable Wipes,100% plant-based materials,,"[{'hypoallergenic': True}, {'alcohol free': True}]",,
Lighting Fixtures,Capulina Tiffany Dining Table Lights,,,,,
Cigarette Lighter,Billet Aluminum Cigarette Lighter Plug Delete,Aluminum,['Black'],"['Eject', 'Fire missiles, Portable, Dust Proof, Shiny Look']",,
Automotive,383033-S101,Phosphate,,,,
Costume,Snow Party Dress Queen Costume,Unknown,Dark Blue,['Princess Cosplay Dress Up'],,
Women's fragrance,Flora by Gucci,,,['- Romantic wear'],,
Pet Treats,40192,,,,,
butter spreader,Nemco Butter Spreader,aluminum,,"['sits conveniently on grill', 'non-electric', 'holds 1 lb of butter']",,
steering wheel cover,elastic stretch,microfiber breathable ice silk,black,"['warm in winter and cool in summer', 'universal size (15 inch)', 'anti-slip', 'odorless']",,
Trading Card,Card of Demise - LCKC-EN029,,,,,
men's underwear,Elance Bikini,cotton,,,,
Generator Interlock Kit,GE-200HDA,Metal,,,,
Bath Accessories,Neck Pillow,Waterproof,,"[{'name': '', 'description': ''}]",,
Music,,,,,,
Emergency Supplies,Be Ready,Chemical Light,Orange,"[{'key1': '-- Small, lightweight and delivers 12+ hours of dependable bright light\n-- Ensures you’re not left in the dark'}]",,
Women's Plus Size Pull on Dress Pant,Briggs New York,,,,,
Coil Spring Set,81069,,,,,
Pipe Fittings,"3/4"" Floor Flange Iron Pipe",Iron,Dark Gray,"['Industrial Decor', 'Steampunk Vintage Retro Decor Furniture DIY']",,
Shorts,Diagonal Stripe Walking Short,,,,,
Women's Biker Shorts,High Waisted,"52% Polyester, 40% Modal, 8% Spandex",,,,
Diamond Cross,Ultra Premium Collection,14K White Gold,White Gold,[],,
Breakfast Food,,,,,,
USB Cable,Replacement Compatible Apple TV 4th Generation USB C Sync/Transfer/Reset/Restore/Data/Charger Cable,,,"['Sync', 'Transfer', 'Reset', 'Restore', 'Data Transfer', 'Charging']",,
Battery Grip,3086C002,,Black,"['Holds up to two lip-e6/LP-E6N lithium-ion batteries', 'Doubles shooting time']",,
Kitchen Dinnerware Set,16-Piece Cafe Stripe,,Red,,,
Motor Asy,YH1766,,,,,
sanding tools,Detailer Replacement Belts,,,"[{'grit': 80}, {'grit': 120}, {'grit': 180}, {'grit': 240}]",,
Footwear,Feliks,Man-made upper,Yellow,"['Covered in glitters', 'EVA foam footbed for walking comfort']",,
Oil Change Kit,49065-0721,,Yellow,,,
hand dryer,LS-PRO Automatic,,grey,,,
food,Grain-Free Mix - Pancake,,,,,
Beads,HYBEADS 100pcs,Crystal Ab Beads Gemstone,,,,
Wallet,Alexa Shimmer,Vegan Leather,,[{'_1_': ''}],,
Skincare,Redness Relief Soothing Cleanser,,,"['Cleanses', 'Soothes']",,
Phone Cases,iPhone X/Xs Case,Soft Silicone Gel Rubber Bumper,Light Blue,"{'#1': '- Microfiber Lining', '#2': '- Shockproof Full-Body Protective Case Cover'}",,
luggage,Chicago Hardside Expandable Spinner Luggage,Hardside,Rose Gold,"['Expandable', 'Spinner']",,
fruit storage basket,2-Tier Metal Mini Countertop Fruit Storage Basket,metal,antique black,['countertop storage'],,
Hunting game & trail cameras accessories,Trail Cam Stealth Cam HME-12VBBSLR,,,['Solar Auxiliary power pack'],,
Folding Knife,Jarosz Beartooth,,Gray,"[{'description': 'Reversible pocket clip'}, {'description': 'Tip-up/tip-down carry option'}, {'description': 'Thumb stud'}]",,
LED Tube Power Extension Cable,T8 T5 Integrated,,,"On/off switch built-in, extends the reach of LED tube lights",,
Party Supplies,,,Retro Color,,,
Light Bulbs,MR11,Glass,Warm White (2700K),"[{'-Voltage': '12V', '-Dimmable': True}]",,
Snacks,Good Health Chip Veggie Disney,,,[{'_branch_no_formalgrammaticalconstruct_1': None}],,
Bike Computer,SY Bicycle Speedometer and Odometer,Waterproof,,"[{'name': 'LCD Display'}, {'name': '& Multi-Functions by YS'}]",,
Home Decor,Fall Festival Premium Marbled Wax 2-Wick Tumbler,,,"[{'description': '', 'title': ''}]",,
Barbie Collector,Empress of the Aliens,,"['Gold', 'Green']",[],,
engagement rings,HAFEEZ CENTER,14K Solid Gold,D (Colorless),"['- Round Brilliant Cut Halo Solitaire design.', '- Features a high-quality VVS clarity Moissanite stone.', '- Suitable for engagement or proposal occasions.']",,
Party Supplies,100 Pack White Daisy Paper Napkins,Paper,White,"['Baby Shower', 'Wedding', 'Birthday Party']",,
Wall Decor,Photography Poster,Paper,Black & White,[],,
lingerie,camouflage chemise and G-string set,power mesh,camouflage,,,
Battery Box,R1175,Steel,,,,
Action Figures,Expanded Universe Storm Trooper & Governor Tarkin,,,,,
pencil box,AmazonBasics,,Multi-Color,,,
Halloween,Evil Queen Accessories Set,"['Horn', 'Feather Shawl', 'Feather Cuff']",['Black'],"['Cosplay Party', 'Gothic Crow Costume Dress Up']",,
T-Shirt,Classic Smiley Face,Cotton,Black,[],,
Utensils,Michelangelo Casserole Spoon,Stainless Steel,,"['serving casseroles', 'serving vegetables', 'serving desserts', 'serving fruit compotes', 'serving pasta salad']",,
Bath shower accessories,Multi-color,Mesh pouf,Multi-color,"['Exfoliating body loofah pad', 'Shower scrubber ball']",,
Wood Polish,Old English Scratch Cover For Light Woods,,,,,
carburetor,XR80R,,,,,
Console Table,Simple Simplicity,Solid wood and wood veneers,Red,,"['Two drawers', 'Metal pull knobs', 'Hand crafted legs']",
Poster,YEXT583,,,,,
Hoodie,Amran Abocar Funny Harry Potter Casual Full Zip Hoodie,,,,,
Kitchen,120-Piece Clear Plastic Knife Set,Plastic,Clear,"['-Disposable clear plastic knives for easy cleanup and convenience', '-Ideal for parties, events, picnics, and other occasions where disposable cutlery is needed', '-Durable construction to handle a variety of foods']",,
Women's Sandals,Fine Glass Slingback Platform,,,,,
Projector Screen,Portable,White,100 Inch,['4:3'],,
Men's NuBlend Fleece Hoodies & Sweatshirts,JERZEES Men's NuBlend Fleece Hoodies & Sweatshirts,"50% Cotton, 50% Polyester",,,,
Costume,Alluring Assassin,"['Mesh', 'Vinyl']","['Black', 'Red']","['Blend in with surroundings', 'Includes bodysuit, mask, gloves, and swords']",,
Women's Pants,Fleece Lined Slim Straight,Denim,,,,
LED Strip Lights,6.56ft for 40-60in TV USB Backlight Kit,,,"['16 Color 5050 Bias HDTV', '24Key Remote']",,
Outdoor Lighting,LMMS2206,Not specified,Matte Black with White Interior,[{'_type': 'dusk to dawn'}],,
Training Tool,GOAT Folding Practice Trainer,Stainless Steel,Black,"[{'function': 'No Edge'}, {'function': '100% Safe For Training'}]",,
clip-on shade,81493,plastic,clear,['clips onto bulb'],,
Toy,1967 Classic Die Cast Volkwagen Beetle,Die Cast Metal,Red,"['Doors Openable', 'Pull Back Action Drives Car Forward']",,
Stove seal,Flat 1500 F,Vermiculite coated and woven fiberglass,,,,
Clothing,Bustier Corset Top,PU Leather,Black,"['Sexy', 'Push Up', 'Off Shoulder']",,
Birthday Party Supplies,Mini Candy Bar Wrappers,,Black and Gold,"[{'name': '', 'description': 'Stick around Hershey’s Miniatures candy bars. Will not fit Hershey’s Nuggets.'}, {'name': '', 'description': 'People Also Use As: Glass Jar Labels, Favor Bag Stickers, Scrapbook Stickers'}]",,
Clothing,Under Armour Boys' Little Ua Branded Twist Set,"Quick-drying, ultra-soft fabric",,"[{'function_name': 'Fuller cut for complete comfort'}, {'function_name': 'Moisture transport system wicks sweat & dries fast'}]",,
Crafting Supplies,8130-00,Zinc,,"[{'name': 'Stamping', 'description': 'Used for stamping names and initials on handcrafted projects'}]",,
Electric Ice Auger,ION,,,,,
hydraulic fluid,10017,,,,,
Womens Shoe Care,Boot Trees,Molded synthetic material,,"[{'***_id***': 'Spring action accommodates a variety of shaft widths'}, {'***_id***': 'Two per package'}]",,
Movies,Matt Hooper,,,,,
Maternity Nursing Tops,Short Sleeve Breastfeeding Clothes,-,-,-,,
D&D Miniature,Waterdeep Dragon Heist - Dragonborn Draconic Sorcerer (Blue Robes) #012a,Pre-painted plastic,Blue,,,
Floor Finish,Bona Mega Semi-Gloss,,,,,
Bookmark Cutting Dies,4 Pieces Tab Die Cut Metal Bookmark Cutting Dies,Carbon Steel,,"['Embossing Crafts', 'Card Making', 'Scrapbooking']",,
T-Shirt,Spectre Spikes Slim Fit,Cotton,Charcoal,,,
Band Saw Accessories,119.224000,['Urethane'],,"[{'description': 'Replacement Band Saw Tires'}, {'description': 'Replacement Drive Belt'}]",,
pet supplies,French Bulldog Salmon Oil Soft Chews,,,"skin and coat supplement, provides essential Omega-3, Omega-6, EPA, and DHA",,
women's clothing,sweater vest,knit,['multi-color'],"['crop style', 'V neck', 'sleeveless']",,
Food,BFree,,,,,
Cardboard Cutout,Shere Khan,Cardboard,,[{'name': None}],,
Air Freshener,Sultan,,,"[{'name': 'Quick freshening action', 'description': 'Eliminates unpleasant smell and fills the air with clean, cool, and pleasant atmosphere'}]",,
Men's Novelty Tie Dye T-Shirt,Lars Amadeus,Cotton,['Tie Dye'],"['Short sleeves', 'Hip Hop Summer Printed Tee']",,
Women's Petite,Crepe Off The Shoulder Cocktail Sheath,Novelty crepe,black,"['off the shoulder', 'flounce hem']",,
Women's Collar Button Down Shirt,Summer Knot Front Blouse,,Pink White,"[{'- Collar design': '', '- Button down': '', '- Tie front detail': '', '- Rolled short sleeve': ''}]",,
paintball macroline fitting,90 swivel,nickel,,"['90 degree rotating swivel', 'for use with macro hose', 'easy push in and lock system', '-pre-taped with thread sealant']",,
Lighter Fluid,,,,,,
American Flag,VIPPER,Nylon,"['Red', 'White', 'Blue']",[],,
Shoulder Rest,Chienti,Plastic + EVA,,,,
Coaster Set,Jane Austen Books,"Fabric Top, Rubber Back",,,,
Industrial Pipe Shelf,FODUE,Wood and Metal,,"[{'storage': True, 'hanging': True}, {'practicality': True, 'decoration': True}]",,
Fabric Marking Pens,Retractable Heat Erasable,,Assorted Pack (4 colors),,,
Women's Shoes,Joy Jolene Ankle Boot,Premium Leather,,Concealed Orthotic Arch Support,,
Jewelry,Box Chain Necklace,14K Real Solid White Gold,White Gold,,,
Toys,Pop! Rocks: Migos - Offset,,,,,
Desktop,HP Pavilion Gaming Desktop,,,,,
Networking,UF-OLT-4,,,"[{'name': '', 'description': ''}]",,
Luggage,Roxbury 2.0,Makrolon polycarbonate (PC),Mulberry,,,
CD Set,Double Shot,,,,,
Dashboard Doll,Hula Girl Dancing,,,,,
Hobby and Model Building,"RO 1/4"" x 36""",Aluminum,,"['Hobby and model building', 'Telescopes into the next corresponding size', 'Easy to cut and solder']",,
Women's Earrings,Trademark,Silver,,,,
lacrosse glove,Surgeon 400,,,,,
Men's Cap,Classic Pony Cap,,,,,
Pajama Set,Woven Plain-Weave Pajama Set,Plain Weave,Assorted Colors,,,
Boys' Birthday Dude Graphic Tee,,,,,,
Electric Fence Energizer,PMX120,,,,,
After Market Belt,5-M-710,Rubber,,,,
Food & Beverage,Yerba Mate Instant Tea Powder,,,,,
Body Wash,Pure Impact,,,"['Long lasting', 'Deep clean shower experience']",,
Potentiometer,3362,,,,,
Energy Drink,G Fuel Hydration Faze X Tub (30 Servings) Elite Hydration Powder 3.39oz,,,,,
booties,CHANCE,,,,,
USB receiver,Logitech Artemis Spectrum G933,,,"Wireless, surround sound gaming headset",,
Women's Shoes,Stomp Combat Boot,,,,,
coffee mug,B04Y19D01W068836M04T61C02S28C-US,ceramic,black,,,
Movie,The Private Eyes,,Color,,,
Fishing Equipment,Mudville No-Roll Sinker,,,['- Eliminates the problem of sinkers rolling under stumps'],,
Clothing,Ruffle Short Sleeve Tie Up Back Crop Top,Not specified,,[''],,
Phone Case,Spigen Neo Hybrid Designed for Samsung Galaxy Note 10 Case (2019),,Gunmetal,"[{'- name1': 'Precise Cutouts', '- name2:': 'Charge Wirelessly Compatible with wireless charging.', '- name3:': 'Camera Guard Raised bezels for enhanced protection.'}]",,
Microphone,Mini USB Condenser Microphone,,Black,"[{'- Capsules: ': ['+ Mini USB condenser microphone for online meetings, gaming, podcasting, and more.', '+ Features dual capsules for recording in stereo or mono.', '+ Plug-and-play functionality; no drivers required.', '+ Compatible with Windows and Mac operating systems.']}]",,
pet cologne,1018OMH,,,,,
Playground Balls,Gaga Playground Balls 2pk,Durable Rubber,,"['Dodgeball', 'Kickball', 'Gagaball Official Play']",,
SEM 39863 Plastic Adhesion Promoter Aerosol,39863,Plastic,,"['Seals substrates', 'Increases adhesion of topcoat materials to raw plastic bumpers and interior parts']",,
Hot Pads and Oven Mitts,ARCLIBER,Rubber Surface,Blue,"['Heat resistant', 'Non-slip']",,
Candy,Root Beer Barrels,,,"['Sugar Free', 'Individually Wrapped', 'On-the-go candy']",,
Toddlers and Baby Girls' Loose-Fit Fleece Footless Pajamas,Simple Joys by Carter's,Fleece,,"[{'function': 'stock up on cute basics'}, {'function': 'holiday pjs for sweet dreams'}, {'function': 'snuggle up in warm winter gear'}, {'function': 'ready, set, play in easy sets'}]",,
gemstone beads,,Ethiopian opal,,,,
Educational,XXL Inflatable Globe,,,,,
RV Sink Basket Strainer,,Stainless Steel,,"[{'name': '', 'description': ''}]",,
Wedding Dress,Sweetheart Full Lace Beach Wedding Dress,Lace,,,,
Boys' Long Sleeve Solid Button-Down Collared Oxford Shirt,IZOD,,,,,
Bath Rug,Hearts and Stars,Multicolored,,,,
Pocket Token,St Peregrine,Silver Tone,,,,
Digestive Aid,Aloe Vera Herbal Stomach Formula,,,"['Soothe Heartburn and Indigestion', 'Supports Immune System']",,
graphics card,Titan X Pascal,,,,,
socks,6 Pack Low Cut Socks,,,,,
Gardening,Pennington Terra Cotta Pot and Saucer Bundle (4-Inch),Terra cotta,,"['Indoor gardening', 'Outdoor gardening']",,
Slippers,Gemma Plush Slipper,['Plush'],,"['Adjustable Mule Slipper', 'Concealed Orthotic Arch Support']",,
Food,Duncan Hines Creamy Home-Style Milk Chocolate Frosting,,,['Frosting'],,
Face Mask,Reusable,Rose Gold Glitter Bling Mesh with Rhinestone Diamond Sequins,Rose Gold,"['Washable', 'Adjustable']",,
Baby Boys' Hooded Lightweight Windbreaker Jacket Coat,,,,,,
Bird Toy,Carnival Bird Kabob,Chewable perch with Bird Kabob discs,,"[{'_value': '', '_type': ''}]",,
Parchment Paper Baking Circles,8 Inch Diameter,Baking Paper Liners,,"['Baking Cakes', 'Cooking', 'Dutch Oven', 'Air Fryer', 'Cheesecakes', 'Tortilla Press']",,
Pica,A14711270P6050,Plastic,,"['For recharging or changing rectangular leads', 'Comes with 12 refill leads for safe storage', 'Double opening for easy use']",,
Hunting Gear,25x18 Hang-On Tree-Stand Seat,Not specified,,,,
Clarinet Reeds,Cecilio,,,,,
Clothing,DLAZANA King James on Fire Cotton Hoodie Sweatshirt,Cotton,,,,
hearing aid battery,ZPower 312 Rechargeable,,,,,
Durag,Premium Custom Silk Durag,100% Silk,Red,"['Helmet liner', 'Custom fashion statement']",,
Bike Accessories,OPAMOO Bike Bicycle Triangle Frame Bag,,,,,
Automotive,851-357,Premium Dry Air Filter,,,,
Shorts,Powertrain,,,,,
Sandals,Leeanne,,,,,
Air Filter Kit,TS700 TS800,,,,,
Pee Stopper,UStop,Flexible Opaque material,,['Stop Wee Spillage'],,
Bulk Candy,York Peppermint Dark Chocolate Pattie,,,,,
Coat Rack,DecoBros,Steel,Chrome,"['Space-saving', 'Organizer']",,
,,,,,,
Sneakers,Tanjun,Textile Uppers,,,,
Key Fob,2002-2006 Acura RSX,,,,,
Boys' Fleece Lined Windbreaker Jacket,,,,,,
Snapback Hat,Founded,Quality materials,,,,
Girls' Dress,Flutter Sleeve Fit and Flare Dress,Not specified,,,,
Sneakers,Brad,Textile,,,,
Womens Ankle Wedge Sandals,Miercen,Patent,,,,
Hair care,Helen Seward Reforce 1/L Fortifying Concentrate,,,"['Fortifying anti-ageing lotion', 'Adjuvant for preventing hair loss', 'Re-densifying action']",,
smartphone,Asus ZenFone 4 Pro (ZS551KL),,Moonlight White,,,
pillow cases,Empire Home Microfiber Persian Collection,microfiber,royal,-,,
Surgical Brass Ball Coil Fish Earring Hooks,Clasp Hypo-allergenic Ear Wire Bead Connector Hooks,Brass,Copper,"['DIY Jewelry Finding', 'Making Dangle Earrings']",,
