category,model,material,color,functions,functions ,functions:
Toy Cleaner,All-Purpose Misting Toy Cleaner,,,,,
Model Kit,Elite Praetorian Guard Helmet,Metal,,[],,
Women's Shorts,PERSIT High Waist Workout Yoga Shorts,Non See-Through,['Multiple Colors Available'],"['Tummy Control', 'Side & Inner Pockets']",,
Stickers,Colorful Owls Shape Stickers,Acid free and lignin free,12 assorted colors,,,
Bottled With Love,,,,,,
Kitchen Mat,Cushion Comfort,,,,,
Wallet,Cosmo,,,"[{'description': 'Carry cash and cards safely'}, {'description': 'Full-zippered design for added security'}, {'description': 'Fits all our bags'}, {'description': 'The detachable wrist strap creates a grab and go when running into the convenience store!'}]",,
Ring,Classical Simple Plain Ring,Titanium Stainless Steel,Brushed Matte Black,,,
baseball cap,Tactical Style Cotton Trucker,100% cotton,army green,,,
Disney Descendants Uma Fashion Doll,Inspired by Descendants 3,Brown,,,,
hoverboard,UNI-SUN All Terrain,-,-,"['Lights', 'Bluetooth']",,
Wall Mural,Removable Wall Mural,Self-Adhesive Large Wallpaper,,,,
Hoodie,Christmas Hazbin Hotel,Polyester blend,,,,
Eyelash Extension Remover Gel,No Burn Eyelash Extension Gel,,,,,
Women's Shorts,"Oalka Women's Short Yoga Side Pockets High Waist Workout Running Sports Shorts 4""",,,,,
Party Supplies,Oojami,Foil Paper,Rose Gold,"['+ Serves 50 people', '+ Includes 50 dinner plates (9"") and 50 dessert plates (7"")', '+ Rose gold party theme']",,
Memory Card,MB-MC256DA/AM,,,,,
Wallet Inserts,Set of 2 - 12 Page Plastic Replacement,Plastic,Clear,"['Good for Cards and very small pictures', 'Very thin and Lightweight']",,
Firearm Accessory,Mossberg 500 Wood Shell Limit Plug,Wood,,['Reduces the tube capacity by 3 shells'],,
Snow Plow Shoe,1303005,,,,,
Bedding Sheet Sets,Leopard Bedding Sheet Sets Twin Size,Unknown (not mentioned),,,,
Office Supplies,JK-Refill G301,,Blue Ink,,,
Medical Equipments,ASA Techmed Nurse Starter Kit,,Purple,"{'Stethoscope': True, 'Blood Pressure Monitor': True, 'Tuning Forks': True}",,
Basket Bags,6 Pieces,OPP (oriented polypropylene),Clear,"- Sturdy and tear-resistant
- Transparent material for clear visibility
- Suitable for various occasions such as Valentine's Day, Mother's Day, parties, festivals
- Can be used to wrap baskets or gifts",,
Animation,Pop! Yu Hakusho Collectors Set,,,,,
Womens Slippers,DL Womens-Fur-Fuzzy-Slides-Slippers,"[{'upper': ['Fur', 'Flannel'], 'lining': ['Fur']}, {'sole': ['EVA']}]",['Black'],"[{'anti-skid': True}, {'soft': True}, {'non-slip': True}]",,
Camera Lens,Biogon T* ZM 2.8/28,,Silver,,,
Women's Fashion Ankle Strap Kitten Heel Sandals,Jasmine,,,,,
CD/DVD Jewel Cases,190152,Plastic,Clear,"['Space saving', 'Durable']",,
Play Tent,Yoobe Hexagon Princess Castle,230T soft pongee and PVC,,"[{'function_name': None, 'description': '- Includes LED light with 23 feet star lights (batteries not included)\n- Comes with Circus Flags\n- Spacious interior for kids to play in\n- Easy to store'}]",,
Kitchen Utensil,Salad Cutter Bowl,-Not specified-,-Not specified-,"['Quick and easy salad preparation', 'Fruit and vegetable chopping']",,
Muffler Deflector,795038,Louvered,,"['For Models 250000, 311700, 280000, 400000, 420000, 290000, 300000, and more.']",,
CD,2 cd digi pak,,,"[{'year': ['1992-1995', 'Complete ""Bender"" Sessions']}]",,
Sleep Aid,Melatonin Kids Gummy 1 mg,Pectin Based,Natural Strawberry Flavor,"['Healthy Restful Deep Sleep Support', 'Non-Habit Forming']",,
Water,Alpine Spring,,,,,
Sneaker,Vl Court 2.0,Soft suede upper on a rubber cupsole,,Comfortable feel with embossed 3-Stripes,,
door curtain,French Door Panel Voile Drapes,sheer,white,"['light filtering', 'privacy protection']",,
Baby Girls' Jumpsuits,Simple Joys by Carter's,,,,,
Candle,Blended Soy Candle,Soy,Lilac Scented,,,
ALLERGY,4MG TAB,CHLORPHENIRAMINE MALEATE-4 MG,Yellow,100 TABLETS,,
Car Fuel Injector Nozzle,OEM 23250-35040,,,,,
Arts and Crafts,Foam Balls 1'' inch,Styrofoam,,,,
Games,37430,,Multicolor,,,
Men's Shorts,2016 Repeat Print,Polyester,,,,
Credit Card Holder Wallet,Organizer for Women Zipper Card Case,Fabric,Floral,"[{'function_name': '', '_id': ''}]",,
Coffee Mugs,We can't all be a princess,,,,,
Stencils,Letter and Number,Wood,,"['Painting on wood', 'Party wedding home decoration', 'Art and craft, signage, bistro, drawing']",,
Women's Beret,Dahlia,Angora Wool,['Unspecified'],"['Winter Hat', 'Dual Layer', 'Spiral Twist']",,
Monitor,LG UltraFine 5K,IPS LED,Black,,,
Dishwashing Liquid,Ultra Platinum Advanced Power,,,[{'scent': 'Fresh Scent'}],,
Shorts,Phantom Hybrid Response,[Specify Material],[Specify Color],[Specify Functions],,
3D Pen Mat Kit,DesignPad + FreePad,,,,,
straw clutch bags,summer evening handbags,woven straw,"['natural', 'beige']","['evening bag', 'bride wedding purse', 'vacation beach clutch']",,
LEGO,"City - Wheel, Tire and Axle Set",,"['Black', 'White', 'Light Gray']",[],,
Hair combs,"['Rat Tail Comb', 'Fine Cutting Comb']",Metal,Silver,"['Hair styling', 'Cutting', 'Teasing']",,
Screen Protector,LG Q7/LG Q7 Plus,Tempered Glass,,"['Drop-protection', 'Shatter-proof', 'Safety Laminated']",,
Plush,Cinder The Green Dragon,Ty Silk,Green,,,
Bike Accessories,KP214/20MM,,,,,
Industrial Barbell,Incaton 14g,Surgical Steel,,,,
Sackpack,UA Undeniable Sackpack,,,,,
Gift Card,,,,"['Red Lobster is America’s favorite seafood restaurant, offering a wide variety of dishes', 'Fresh fish, shrimp, crab and live Maine lobster are some of the options available']",,
Perfume,L'EAU D'ISSEY POUR HOMME INTENSE,,,EDT SPRAY,,
sneakers,Coral Women’s Sneakers,,,,,
Crib Sheets,Stretchy Fitted Crib Sheets Set,Ultra Soft Jersey,"['Pink', 'White Arrow']","['Portable Crib Mattress Topper', 'Full Standard']",,
Religious Statue,Immaculate Conception,Polyresin,,"['Garden Decoration', 'Outdoor Decoration', 'Patio Decoration', 'Cemetery Grave Stone']",,
Die Cut Cards,Mickey Mouse Head,80lb Weight Cardstock,Black,"['Wedding Place Cards', 'Escort Cards', '', '', '', '']",,
NFL Dallas Cowboys BLUETOOTH Ugly Sweater,Large,,,,,
Kids' Watch,Accutime Kids Batman Analog Quartz Watch,,Silver-tone with Batman yellow accents,,,
gown,Adrianna Papell,beaded mesh,,,,
Finials,Squire Acrylic Square,Nickel,,,,
Poster,Last Dance Strip Club See Hear Speak No Evil,,,,,
Jeans,M2 Relaxed Boot Cut Jean,Denim,Medium wash with hand sanding and whiskering,,,
Meatloaf Pan,Professional Non-Stick 2-Piece Healthy Meatloaf Set,Copper,,"['Baking bread', 'Baking cake', 'Cooking meatloaf']",,
Gift Set,TWILIGHT WOODS Deluxe Gift Set - Signature Collection,,,"Includes Body Lotion, Body Cream, Fragrance Mist, Shower Gel and Sisal Shower Sponge",,
Seeds,Morning Glory,,,['Bright Blue Morning Blooming Vine for All Zones'],,
Lint Roller,DecorRack Lint Rollers,,,"['Remove pet hair from clothes', 'Remove pet hair from furniture']",,
Hand Sanitizer Gel,Hydra Pearl,,,,,
fragrance,Aqua Kiss,,,,,
Pen Ink Refills,G2 Gel-Ink Retractable,,Blue,"[{'name': 'Bold Point', 'size': 1.0}]",,
Gift for Men,Tank Top,,,,,
Amplifier,ST-1550.1,,,"[{'name': 'Remote Level Control', 'description': ''}]",,
T-Shirt,Area 51 Inmate Alien UFO,,,,,
Women's dress,Rose Ls V-Neck Dress,,,,,
Necklace,Mustard Seed Necklace,"['Silver', 'Gold']","['Silver', 'Gold']",[{'name': 'Faith is like a little seed.'}],,
Farm Toys,Kiddie Play Farm Set,Plastic,['Various colors'],"['Includes farm tractor with livestock and milk transporter', 'Comes with animals, milking station, and farm accessories', 'Includes reusable storage case for easy organization']",,
Rolling Papers,Big Bambu,Bamboo,,['Slow burning'],,
Slides for Women,Cape Robbin,,,,,
Guitar Accessories,Stratocaster Switch Tips,,White,,,
Travel Case,Sony PlayStation 4 PS4 Pro Game Console + Wireless Move Motion Controller,EVA,,,,
Eye Care,Visine-A,,,"['Relieves itch', 'Reduces redness']",,
Floor Runner Rugs,Sunflower Print Fabric,Kitchen Carpet,Window Room Outdoor Mats,Extrance Mat,,
Salt Substitute,Katarina Naturals All Natural Sodium Free Salt Substitute,,,,,
yogurt,Icelandic Provisions Plain Skyr Yogurt,,,,,
Bar Clamp,MAXPOWER F Clamp,Steel,,"['Heat treated steel for durability', 'Protective pads prevent marking or deformation on clamping surface', 'Ergonomic grip handle for comfortable long-term use']",,
Piggy Bank,Adults Piggy Bank,Ceramic,,"[{'functionDescription': ""Help budget and save for vacation, wedding or child's college fund""}, {'functionDescription ': '""One small opening to access money""'}]",,
Kitchen Tools,Mini Wooden Spoons,Wood,,"['Disposable', 'Eco Friendly', 'Sugar Salt Scrub Spoons', 'Biodegradable Ice Cream Dessert Spoons']",,
Decorative Vase,Mini Ceramic Flower Vase,"['Kiln Glaze', 'Ceramic']",,"['Centerpieces', 'Kitchen', 'Office', 'Wedding', 'Living Room']",,
bags,Penguino Crossbody Bag,,,,,
French Press Single Serving Coffee Maker,Small Affordable Coffee Brewer,,Silver,"[{'_value_0': 'Highest Filtration'}, {'_value_1': '1 Cup Capacity (12 fl oz)'}]",,
Apparel,Under Armour Boys' Any Hoop Any Time Short-Sleeve Tee,Charged Cotton,,"['dries fast', '4-way stretch construction for better movement', 'sweat-wicking and quick-drying']",,
mattress,"HYBRID 13"" BRX1000-C Plush",,,,,
Adapter,5304483509,,,,,
Pillows,ACRAFSMAN Goose Down Alternative Pillows,Down alternative,White,"['Suitable for side sleepers', 'Hotel collection pillows']",,
Lip balm,Blistex DCT Jars,,,"['Moisturizes lips', 'Provides vitamin E for daily maintenance']",,
Women's Plus-Size Super Stretch Millennium Welt Pocket Pull-on Career Pant,Briggs New York Women's Plus-Size Super Stretch Millennium,Millennium,,,,
yoghurt,Coconut,,,,,
remote control wall hook,4X,self-adhesive,,,,
pajama set,Hanes Men's Woven Plain-Weave Pajama Set,plain-weave fabric,,"['button-front top with long sleeves', 'adjustable waistband with elastic']",,
Party Supplies,Watermelon Party Pack,Paper,,['Serve food and snacks at a watermelon-themed party'],,
Baby Snack,Organic Puffs,Corn,Blueberry,Melt in the mouth for safe self-feeding. Ideal for first stage snacking,,
Scented Candle Gift Set,"3,4 oz Candles",-,-,-,,
Girls' Clothing,2 Pieces Jog Set-Velour,Velour,,"[{'description': 'Hooded jacket with pockets and logo on the back', 'type': ''}, {'description': '', 'type': ''}]",,
Buttons,Celtic Horses,Zamak,Antique Silver,"['Metal Shank Buttons', 'Diameter: 25mm (1 inch)', 'Hole Size: 2mm', 'Waterproof']",,
Wallet,Kids' Rise Trifold Wallet,,,,,
Travel Mug,Stainless Steel Travel Mug,Stainless Steel,,,,
Soccer Jersey,Manchester United FC Away,Fast-drying Climalite,,"['Lightweight', 'Comfortable']",,
Action Figures,CFB Creators Model Gore Magala,,,,,
Poodle Comb,Utsumi,Stainless Steel,,[{'description': 'Wide teeth just for poodles!'}],,
Replacement Filters,Ultra Premium Filter Supplies for ResMed,,,,,
Incense Sticks,Money Drawing,,,"['Maintains peace', 'Brings prosperity', 'Creates happy atmosphere']",,
Coffee Mug,FEIYABDF Couple Cat Pattern Porcelain Coffee Mug,Colored Ceramic and Gilding Process,,"['Suitable for Married Couples Anniversary, Anniversary, Wedding, Engagement Valentines Day Girlfriend Wife']",,
Action Figure Vehicle,Vintage,,,,,
Portable Bluetooth Digital Tuner AM/FM Radio Cd Player,Sony Portable Bluetooth CD Player,,,"[{'function_name': 'Bluetooth connectivity', 'description': 'Allows you to wirelessly connect your devices such as iPod, iPhone or Mp3 Digital Audio player'}, {'function_name': 'AM/FM radio tuner', 'description': 'Lets you listen to your favorite radio stations'}, {'function_name': 'CD player', 'description': 'Plays CDs with high-quality sound'}, {'function_name': 'Mega Bass Reflex Stereo Sound System', 'description': 'Delivers powerful and clear audio output'}]",,
butane fuel canister,BT-15,,,,,
Car Cover,Amazon Basics Silver Weatherproof Car Cover - PEVA with Cotton,PEVA with Cotton,Silver,,,
Kitchen,Clear Glass Butter Dish,Glass,,,,
Sneakers,SF Air Force 1 Mid,"['Leather', 'Nylon']",,"['Removable Strap', 'Heel Zippers', 'Heel Pull Tab', 'Rope Laces']",,
Movie Poster,Fronte del Porto,Acid free and archival materials,,,,
Jacket,Windrunner,100% polyester,,,,
Protective Fashion Face Mask,Lunachix Floral Print Mask with Filter Pocket and Breathing Valve,Triple Ply,['Floral Print'],"['Reusable', 'Washable', 'Made in Vietnam']",,
throw,Your Zone Glow Throw,,,,,
UTV Skid Plate Washer and Bolt Kit,Polaris General Ranger RS1 RZR 500 570 700 800 900 1000 Turbo,,,Replace Polaris part numbers 7556065 / 7518529,,
sneaker,Princess Fitness,foam sockliner and terry lining,collegiate navy/white,,,
nightstand,Classic,wood,White Oak,,,
Planner,Essential,,,,,
Art Supplies,1-Pack of 24-Mini Canvases,Canvas,,,,
Women's Active Pants,Scuba Jogger,Breathable fabrication,,"[{'name': '', 'description': ''}]",,
snacks,Funyuns Onion Flavored Rings,,,"['delicious snack', 'crisp texture', 'zesty onion flavor']",,
shapewear,FL2107,,,Minimizing Hi-Waist,,
backpacking backpack,Terra,Agave Green/Sulphur Spring Green,-1X,"[{'name': '', 'description': ''}]",,
Baby Shower Guest Book,Elephant,,,,,
Exercise Poster,Double Sided,Laminated,,[{'name': 'Suspension Workout'}],,
Sweatpants,"Hanes Men's Sweatpants, EcoSmart",Recycled Polyester,-,Athletic Lounge Pants with Cinched Cuffs,,
Office Supplies,Two Pocket Plastic Dividers with 5 Tabs,Plastic,Multicolor,,,
Necklace,HZMAN Womens Stainless Steel Number 0-9 Charms Pendant Necklace,"['Gold', 'Silver']","['Gold', 'Silver']",[],,
Food,Twizzlers Creamsicle Dreamsicle Popsicle Orange Cream Pop Filled Twists,,,,,
Face Mask,Elizavecca Milky Piggy,Snail slime filtered water and 24k gold,,"['Pore Skin Texture Moisturizing', 'Wrinkle Improvement Dirt']",,
Sofa Cover,"Ektorp Sleeper, Ektorp Sofa Bed Slipcover",Navy Blue,,,,
Candy,HERSHEY'S KISSES Milk Chocolate Whole Hazelnut,,Purple Foil,,,
Air Purifiers,9800DC-6,Micro Allergen Reduction Filter,,[],,
Kitchen Appliance,DLC-2A,,,,,
WiFi Extender,N300,,,"['Extend WiFi signal', 'Cover blind areas of WiFi signal']",,
Office supplies,Yansanido,,,,,
Adult DVD,KissMe Girl: Girls Kissing - Vol. 2,,,,,
Tools,2510,CR-MO alloy steel,,,,
Battery Accessories,TurfTuff,,,['Lifting strap for deep cell batteries'],,
Sight Set,45 Degree Front and Rear Rapid Transition Backup Picatinny Sight Set,,,[{'functionName': 'Rapid Transition'}],,
Serving Tray,Long Narrow Tray with Handles,Wood,Multiple finishes available,"['Decorative', 'Display']",,
beauty,Live Luxe By Jennifer Lopez,,,['fragrance'],,
Music Photos,,,,,,
Cardigan,Solid Long Sleeve Open Front Drape,"[""Women's Casual Cozy Braided"", 'Open Front Knit Shawl']",['Solid'],['Long Cardigan Duster'],,
Work Shoe,Women's Ghenter Srelt,,,,,
RC Plane Props,8060,"Nylon, fiberglass",Black,,,
Sports Memorabilia,,,,,,
Clothing,Tech 2.0 Long Sleeve T-Shirt,UA Tech fabric,,[{'description': '- Quick-drying\n- Ultra-soft\n- More natural feel\n- Material wicks sweat \n- Dries really fast\n'}],,
Swimwear,Phantom Block Party,Recycled stretch fabric,Solid (unspecified),"['Built to perform', 'Shorter length for full range of motion']",,
Women's dress,Minnie Mouse,cotton/poly blend,red polka dot with black tank top,['pockets'],,
DMX Lighting Cable,MCSPROAUDIO 110 ohm 3 Pin DMX Lighting Cable,-,-,,,
Engineering Inclinometer,Universal Slope Measuring Ruler,ABS engineering plastic,,"['House Improvement', 'Workshop Construction Site']",,
Toy,Assorted Color and Design Tropical Fish,,Various,,,
Ugly Christmas Sweaters,Women's Sweater,Cozy fabric,Various colors,['Interactive games and surprises'],,
Swimwear,One Piece Athletic Bathing Suit,,,,,
Vented Fill,0541DPGCHR,,,,,
Rashguard,Beach Classics Long Sleeve,,,"['UPF 50 (ultraviolet protection factor)', '', '', '']",,
Nail Wrap,Disney Dream The Impossible Jr 0916,88A8,,,,
Mirror,G1218,Glass,,,,
Midi Tower,pc-o11wgx - ROG Edition,Aluminium,,['Window for discerning player'],,
Kitchen Utensils,KC437OHAQA,,Aqua Sky,,,
LED Open Sign,Larger,-,-,"['UL-Flashing or Steady Mode- Lighting Up for Holiday, Business, Window, Bar']",,
Automobile Wax and Polish,Ultimate Compound,Liquid,,"['Removes scratches', 'Eliminates swirl marks']",,
Pool Float,Giant Inflatable Dragon,Vinyl,,"['Pool floatie lounging', 'Summer beach party']",,
Men's Sweatshirt,EcoSmart Fleece Crewneck Sweatshirt,Cotton-Blend Fleece,,,,
Disposable Plastic Cups,16-Ounce,Plastic,Clear/Translucent,,,
Socks,Simple Joys,Unspecified,['Assorted colors'],[],,
Fishing Rod Storage Rack,11 Fishing Rod Storage Rack for Wall/Garage,,,"[{'function_type': 'Ceiling Storage'}, {'function_type': 'Horizontal Storage'}, {'function_type': 'Vertical Storge'}, {'function_type': 'Alternate Tip and Handles'}]",,
Wallet,Bifold,Leather,Brown,['Card Holder'],,
Home Sign,"12""x12"" or 14""x14""",Wood,Off-white background with black wording and brown frame,"[{'functionName': ""'It's so good to be home' sign""}]",,
Food,Fortune Cookies Fresh Single Wrap,,,,,
Whiskey Set,Whiskey Stones & Whiskey Glass,Basalt stones,,"['Chilling Rocks', '', '']",,
Laundry,Febreze Clothing Odor Eliminator,,,['Odor elimination'],,
Chromebook Case,KB12-06,Neoprene,,,,
stuffed animals,"Aurora Bundle of 2 7.5"" Floppy Beanbag Wildcat Stuffed Animals - Amazon Jaguar & Snow Leopard",,,,,
Mechanical Pencil,BRSP-BR,Brass,,['0.03 inches (0.7 mm)'],,
chairs,dining chairs,"['fabric', 'wood']","['gray', 'charcoal']",['upholstered'],,
vacuum,1154,bagless canister,white,['hard floor cleaning'],,
Wedding serving set,,"['Antler', 'Stainless Sheffield England steel']",,"['Cake knife', 'Server', 'Ladle']",,
Motorcycle Tire,2.50-16,Rubber Compound,,"[{'position': 'Front / Rear'}, {'type': 'Tube Type'}]",,
Audio Equipment,,ABS plastic,Black,,,
Toys & Games,Bellatrix Pop Figure,Vinyl,Black,,,
Oil Mix,6450001,,,['Mixing oil with gas for Echo power tools'],,
Office Chair,Mesh Computer Chair,Mesh,Black,"['Ergonomic', 'Swivel', 'Lumbar Support']",,
China Medicinal Herb,Dandelion Loose Leaf Tea,['Taraxacum officinalis'],,"['Clear the stomach', 'Help digestion']",,
aquarium lighting,AAG25916,glass,,['provides proper aquarium lighting'],,
Travel Organizer Cubes Set,4 Piece,Grey,,,,
Evening dress,Tea Length Dress with Rosette Detail,Unknown,,,,
fragrance,Super cedar,,,"['woody', 'floral', 'musk']",,
Balaclava,H61MH,Modacrylic Nomex,White,,,
Women's Espadrilles,Alpargata Mallow,,,,,
kitchen wall art prints,Red Retro Vintage Kitchen Wall Art Prints,,"gray, red & white",,,
Phone Cases,iPhone 13 12 11 Pro Max X XR XS 8 7 Plus,Customizable (Choose your own photo and text),Any color of the chosen photo and text,"['', '']",,
Amplifier Jack,"Fender 1/4"" chrome Amp Jack - Stereo",,,,,
Cotton Candy Floss,82004,,Purple Grape,,,
